OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.785518,3.834739
STATIC,2,1.784649,2.899238
STATIC,4,1.782791,2.466207
STATIC,8,1.789644,2.703649
STATIC,16,1.845531,2.710114
STATIC,32,1.962315,4.359878
STATIC,64,1.960662,7.921544
DYNAMIC,1,1.742815,1.880211
DYNAMIC,2,1.747589,1.912173
DYNAMIC,4,1.740681,1.899550
DYNAMIC,8,1.763647,1.896261
DYNAMIC,16,1.792317,1.881532
DYNAMIC,32,1.877829,3.766271
DYNAMIC,64,2.031144,7.474319
GUIDED,1,1.710510,9.585744
GUIDED,2,1.724290,9.706935
GUIDED,4,1.723114,9.845984
GUIDED,8,1.744426,9.329219
GUIDED,16,1.771097,9.580982
GUIDED,32,1.851697,9.829734
GUIDED,64,1.991292,9.380822
