OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.786206,4.105600
STATIC,2,1.780730,2.858633
STATIC,4,1.803143,2.490391
STATIC,8,1.782125,2.703723
STATIC,16,1.846867,2.701147
STATIC,32,1.904945,4.337911
STATIC,64,2.017339,7.974222
DYNAMIC,1,1.752564,1.915259
DYNAMIC,2,1.741924,1.920866
DYNAMIC,4,1.751454,1.908206
DYNAMIC,8,1.774480,1.882192
DYNAMIC,16,1.791959,1.900894
DYNAMIC,32,1.860928,3.586528
DYNAMIC,64,2.015366,7.282404
GUIDED,1,1.704031,9.473265
GUIDED,2,1.753249,8.957904
GUIDED,4,1.718653,9.636886
GUIDED,8,1.744053,9.424229
GUIDED,16,1.773818,9.831284
GUIDED,32,1.901116,9.091776
GUIDED,64,1.991250,9.847183
