OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.788448,3.837953
STATIC,2,1.796661,2.880652
STATIC,4,1.771483,2.474495
STATIC,8,1.811918,2.664599
STATIC,16,1.807675,2.698801
STATIC,32,1.928531,4.355227
STATIC,64,1.982725,7.975087
DYNAMIC,1,1.745827,1.928870
DYNAMIC,2,1.748322,1.906760
DYNAMIC,4,1.749218,1.902259
DYNAMIC,8,1.775653,1.906674
DYNAMIC,16,1.778931,1.902958
DYNAMIC,32,1.859038,3.738802
DYNAMIC,64,2.021853,7.500394
GUIDED,1,1.709445,9.746028
GUIDED,2,1.712902,9.543180
GUIDED,4,1.724655,9.853230
GUIDED,8,1.767692,9.737926
GUIDED,16,1.772650,9.383870
GUIDED,32,1.886801,9.502747
GUIDED,64,1.989025,9.832721
