OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,2.010599,3.819819
STATIC,2,1.782200,2.886996
STATIC,4,1.786942,2.471808
STATIC,8,1.796522,2.714227
STATIC,16,1.811936,2.710794
STATIC,32,1.942887,4.351770
STATIC,64,2.005250,7.986774
DYNAMIC,1,1.760773,1.927483
DYNAMIC,2,1.745291,1.881933
DYNAMIC,4,1.736298,1.913064
DYNAMIC,8,1.760877,1.905431
DYNAMIC,16,1.805235,1.910194
DYNAMIC,32,1.870317,3.677245
DYNAMIC,64,2.037411,7.190533
GUIDED,1,1.718851,9.307552
GUIDED,2,1.736221,9.449146
GUIDED,4,1.729178,9.441616
GUIDED,8,1.756665,9.447863
GUIDED,16,1.781912,9.606633
GUIDED,32,1.883883,9.457493
GUIDED,64,2.012741,9.418543
