OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.951142,4.084245
STATIC,2,1.782881,2.833117
STATIC,4,1.770459,2.370535
STATIC,8,1.804914,2.691581
STATIC,16,1.834649,2.710550
STATIC,32,1.879156,4.214878
STATIC,64,2.000813,7.511401
DYNAMIC,1,1.777605,1.911148
DYNAMIC,2,1.765849,1.908234
DYNAMIC,4,1.758113,1.904480
DYNAMIC,8,1.783738,1.921995
DYNAMIC,16,1.792231,1.931625
DYNAMIC,32,1.889780,3.696214
DYNAMIC,64,2.033449,7.316878
GUIDED,1,1.740705,9.054477
GUIDED,2,1.744022,9.443627
GUIDED,4,1.727351,9.370635
GUIDED,8,1.776946,9.521101
GUIDED,16,1.799593,9.390179
GUIDED,32,1.885917,9.472357
GUIDED,64,2.003687,9.546789
