SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.797079,1.916118
STATIC,2,0.807334,1.488397
STATIC,4,0.827496,1.436023
STATIC,8,0.869064,2.021408
STATIC,32,1.103592,3.712327
STATIC,64,1.363797,7.188631
DYNAMIC,1,0.731226,0.828388
DYNAMIC,2,0.648676,0.686290
DYNAMIC,4,0.743481,0.887257
DYNAMIC,8,0.773872,1.574473
DYNAMIC,32,1.040144,4.210134
DYNAMIC,64,1.325908,7.193154
GUIDED,1,0.610874,3.849883
GUIDED,2,0.634073,3.914272
GUIDED,4,0.707194,4.020948
GUIDED,8,0.720669,4.029195
GUIDED,32,1.051602,4.166296
GUIDED,64,1.404990,7.459715
