SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.799171,1.907735
STATIC,2,0.809451,1.866983
STATIC,4,0.814933,1.285137
STATIC,8,0.850732,1.542764
STATIC,32,1.088178,4.359360
STATIC,64,1.442010,7.142474
DYNAMIC,1,0.637934,0.691503
DYNAMIC,2,0.726982,0.803270
DYNAMIC,4,0.764413,0.887935
DYNAMIC,8,0.769479,1.708197
DYNAMIC,32,1.029902,4.110590
DYNAMIC,64,1.463124,7.575255
GUIDED,1,0.629723,3.881222
GUIDED,2,0.632065,4.432403
GUIDED,4,0.753160,3.961074
GUIDED,8,0.763285,3.983512
GUIDED,32,1.033109,3.949264
GUIDED,64,1.378085,7.285959
