SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.810374,1.813617
STATIC,2,0.813026,1.421915
STATIC,4,0.824038,1.427547
STATIC,8,0.855406,1.515590
STATIC,32,1.089782,4.514512
STATIC,64,1.456340,7.431672
DYNAMIC,1,0.681601,0.700752
DYNAMIC,2,0.581435,0.677553
DYNAMIC,4,0.681231,0.889370
DYNAMIC,8,0.740426,1.522355
DYNAMIC,32,1.010223,3.892144
DYNAMIC,64,1.413884,7.205784
GUIDED,1,0.623280,4.029101
GUIDED,2,0.674144,4.298690
GUIDED,4,0.730222,4.175068
GUIDED,8,0.771056,3.925561
GUIDED,32,1.013235,3.879557
GUIDED,64,1.363286,7.186003
