NumThreads,Time_Loop1,Time_Loop2
1,12.101934,13.571738
2,5.816400,6.548663
4,3.211319,3.374716
6,2.228511,2.479025
8,1.745335,1.891644
12,1.221726,1.352523
16,0.932080,1.018044
24,0.769855,0.874481
32,0.678792,0.882811
