NumThreads,Time_Loop1,Time_Loop2
1,12.319325,13.489239
2,5.734202,11.332572
4,3.057193,9.538319
6,2.194378,10.015150
8,1.733992,9.465158
12,1.190808,8.519107
16,0.911599,8.229787
24,0.731239,5.480027
32,0.685350,4.403218
