NumThreads,Time_Loop1,Time_Loop2
1,12.055304,13.568330
2,5.712786,11.345533
4,3.052668,10.283627
6,2.161457,9.956975
8,1.738500,8.957364
12,1.201778,8.930844
16,0.915805,8.266155
24,0.765208,5.515107
32,0.628840,4.219381
