NumThreads,Time_Loop1,Time_Loop2
1,12.338293,13.598294
2,5.919836,6.546318
4,3.085772,3.375794
6,2.237333,2.480002
8,1.764394,1.925880
12,1.211696,1.349663
16,0.917553,1.003187
24,0.757553,0.877745
32,0.712608,0.901516
