NumThreads,Time_Loop1,Time_Loop2
1,11.853760,13.562122
2,5.761543,11.219080
4,3.114839,10.317971
6,2.203610,9.733457
8,1.725054,9.351052
12,1.181364,8.823397
16,0.907973,8.258774
24,0.749467,5.471167
32,0.719364,4.992626
