NumThreads,Time_Loop1,Time_Loop2
1,12.498840,13.724728
2,6.008852,6.605093
4,3.096140,3.353892
6,2.198951,2.403137
8,1.736745,1.914234
12,1.204143,1.354664
16,0.921502,0.990645
24,0.791013,0.895445
32,0.719863,0.901072
