NumThreads,Time_Loop1,Time_Loop2
1,12.220563,13.567986
2,5.686134,11.330772
4,3.069111,10.380053
6,2.180808,10.061889
8,1.739395,9.559901
12,1.178549,8.975937
16,0.902284,8.239141
24,0.754708,5.493204
32,0.712537,4.713083
