NumThreads,Time_Loop1,Time_Loop2
1,11.724737,13.614752
2,5.839537,6.607854
4,3.084914,3.372618
6,2.222786,2.402175
8,1.756324,1.915329
12,1.207225,1.356006
16,0.921674,1.008592
24,0.800649,0.894637
32,0.715930,0.895471
