OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
DYNAMIC,1,1.746363,1.904819
DYNAMIC,2,1.748966,1.908025
DYNAMIC,4,1.743468,1.915190
DYNAMIC,8,1.763631,1.909120
DYNAMIC,16,1.805444,1.900117
