Chunksize,Mean,Variance,Lower bound,Upper bound
1,1.91671962,0.0004699721965669395,1.9107105515358676,1.9227286884641326
2,1.9073049800000001,0.00013802159981591777,1.904048528625105,1.9105614313748953
4,1.9036881600000002,0.00020494960883101846,1.8997199502845612,1.9076563697154392
8,1.90614296,0.00011891506616163232,1.9031202985298166,1.9091656214701833
16,1.90354184,0.00018778028801469426,1.8997434804740012,1.9073401995259986
