OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
DYNAMIC,1,1.757906,1.878271
DYNAMIC,2,1.758856,1.925993
DYNAMIC,4,1.760577,1.911072
DYNAMIC,8,1.768987,1.919533
DYNAMIC,16,1.801010,1.906112
