OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
DYNAMIC,1,1.783039,1.941371
DYNAMIC,2,1.759523,1.900246
DYNAMIC,4,1.745346,1.909966
DYNAMIC,8,1.786187,1.911952
DYNAMIC,16,1.803998,1.922743
