SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.801937,1.730495
STATIC,2,0.811892,1.615698
STATIC,4,0.830201,1.452797
STATIC,8,0.865464,2.068198
STATIC,32,1.129072,3.837645
STATIC,64,1.492347,7.196414
DYNAMIC,1,0.709851,0.799854
DYNAMIC,2,0.740501,0.815088
DYNAMIC,4,0.679622,0.884506
DYNAMIC,8,0.796526,1.643379
DYNAMIC,32,1.021009,3.700571
DYNAMIC,64,1.435312,7.368537
GUIDED,1,0.667526,4.087114
GUIDED,2,0.702934,4.114843
GUIDED,4,0.675600,3.992253
GUIDED,8,0.773809,3.860935
GUIDED,32,1.054110,3.914626
GUIDED,64,1.331469,7.210152
