SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.811277,1.929037
STATIC,2,0.810991,1.533965
STATIC,4,0.832161,1.454758
STATIC,8,0.855960,1.792166
STATIC,32,1.101207,3.778143
STATIC,64,1.436122,7.166330
DYNAMIC,1,0.721347,0.843460
DYNAMIC,2,0.710158,0.756128
DYNAMIC,4,0.728042,0.888779
DYNAMIC,8,0.797748,1.698059
DYNAMIC,32,1.009422,3.626544
DYNAMIC,64,1.337988,7.190542
GUIDED,1,0.727325,4.367336
GUIDED,2,0.654749,4.304189
GUIDED,4,0.747467,4.021123
GUIDED,8,0.751506,4.417566
GUIDED,32,1.036825,4.116147
GUIDED,64,1.426428,7.388084
