SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.038206,1.708959
STATIC,2,0.800334,1.375623
STATIC,4,0.821587,1.353835
STATIC,8,0.862793,1.942419
STATIC,32,1.072602,3.933335
STATIC,64,1.435563,7.190155
DYNAMIC,1,0.732136,0.823836
DYNAMIC,2,0.725985,0.796790
DYNAMIC,4,0.624465,0.882828
DYNAMIC,8,0.727615,1.636553
DYNAMIC,32,0.979902,3.610126
DYNAMIC,64,1.328194,7.199334
GUIDED,1,0.693909,3.971293
GUIDED,2,0.723803,4.156794
GUIDED,4,0.726005,4.161020
GUIDED,8,0.731367,4.542589
GUIDED,32,1.004741,3.946664
GUIDED,64,1.450939,7.372282
