SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.801803,1.991530
STATIC,2,0.809875,1.355107
STATIC,4,0.830868,1.356305
STATIC,8,0.865896,1.833290
STATIC,32,1.108923,4.009318
STATIC,64,1.497312,7.216770
DYNAMIC,1,0.731157,0.827921
DYNAMIC,2,0.681006,0.687948
DYNAMIC,4,0.706815,0.886238
DYNAMIC,8,0.772872,1.731996
DYNAMIC,32,1.017927,3.752880
DYNAMIC,64,1.319890,7.215837
GUIDED,1,0.695242,4.592102
GUIDED,2,0.654585,4.404350
GUIDED,4,0.700684,4.051473
GUIDED,8,0.778488,4.126187
GUIDED,32,1.037481,4.070735
GUIDED,64,1.402740,7.312363
