SchedulingType,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,0.789701,1.931799
STATIC,2,0.801281,1.619213
STATIC,4,0.814769,1.372369
STATIC,8,0.869056,1.795748
STATIC,32,1.108478,3.882308
STATIC,64,1.456451,7.212701
DYNAMIC,1,0.662679,0.700499
DYNAMIC,2,0.708708,0.777158
DYNAMIC,4,0.723803,0.897535
DYNAMIC,8,0.724558,1.381622
DYNAMIC,32,1.011400,3.663668
DYNAMIC,64,1.311563,7.202351
GUIDED,1,0.687830,4.047936
GUIDED,2,0.631256,3.999264
GUIDED,4,0.729398,4.026188
GUIDED,8,0.718919,3.907039
GUIDED,32,1.041219,3.856241
GUIDED,64,1.356224,7.190450
