OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.779422,3.829329
STATIC,2,1.789442,2.871258
STATIC,4,1.793804,2.471644
STATIC,8,1.797292,2.696964
STATIC,16,1.839848,2.700635
STATIC,32,1.888763,4.452103
STATIC,64,2.030996,7.988891
DYNAMIC,1,1.764363,1.929045
DYNAMIC,2,1.744972,1.912684
DYNAMIC,4,1.737198,1.902645
DYNAMIC,8,1.758132,1.902476
DYNAMIC,16,1.803230,1.908436
DYNAMIC,32,1.880876,3.516479
DYNAMIC,64,2.009426,7.053567
GUIDED,1,1.728407,9.663577
GUIDED,2,1.722171,9.193041
GUIDED,4,1.748478,9.370224
GUIDED,8,1.753091,9.384958
GUIDED,16,1.766612,9.323648
GUIDED,32,1.851151,9.361425
GUIDED,64,2.002212,9.436055
