OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.789394,3.866642
STATIC,2,1.789417,2.903619
STATIC,4,1.789702,2.468598
STATIC,8,1.806334,2.712337
STATIC,16,1.819103,2.705662
STATIC,32,1.943212,4.351071
STATIC,64,2.044615,7.976675
DYNAMIC,1,1.773884,1.928595
DYNAMIC,2,1.782673,1.899206
DYNAMIC,4,1.756639,1.915801
DYNAMIC,8,1.761267,1.911277
DYNAMIC,16,1.793536,1.903014
DYNAMIC,32,1.904523,3.755888
DYNAMIC,64,2.043725,7.447539
GUIDED,1,1.709953,9.332059
GUIDED,2,1.722821,9.854476
GUIDED,4,1.735597,9.292356
GUIDED,8,1.756483,9.461973
GUIDED,16,1.775909,9.554729
GUIDED,32,1.855773,9.295616
GUIDED,64,1.972904,9.819859
