OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
STATIC,1,1.784849,3.838850
STATIC,2,1.814183,2.833890
STATIC,4,1.776330,2.454336
STATIC,8,1.796841,2.709569
STATIC,16,1.822679,2.701708
STATIC,32,1.891626,4.354354
STATIC,64,2.011299,7.965705
DYNAMIC,1,1.756875,1.916818
DYNAMIC,2,1.748636,1.914117
DYNAMIC,4,1.742921,1.915864
DYNAMIC,8,1.751150,1.886078
DYNAMIC,16,1.781049,1.897133
DYNAMIC,32,1.877472,3.589025
DYNAMIC,64,2.014563,7.288372
GUIDED,1,1.718297,9.315090
GUIDED,2,1.719393,9.496346
GUIDED,4,1.739934,9.416108
GUIDED,8,1.743202,9.253571
GUIDED,16,1.758414,9.338828
GUIDED,32,1.838119,9.848498
GUIDED,64,1.982018,9.581453
