OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
DYNAMIC,1,1.795596,1.923850
DYNAMIC,2,1.742808,1.905007
DYNAMIC,4,1.744043,1.891063
DYNAMIC,8,1.769634,1.893215
DYNAMIC,16,1.805017,1.909831
