OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
DYNAMIC,1,1.774554,1.927987
DYNAMIC,2,1.760362,1.911244
DYNAMIC,4,1.741605,1.901888
DYNAMIC,8,1.780259,1.908373
DYNAMIC,16,1.804364,1.932099
