OMP_SCHEDULE,Chunksize,Time_Loop1,Time_Loop2
DYNAMIC,1,1.769796,1.925427
DYNAMIC,2,1.757128,1.898542
DYNAMIC,4,1.744835,1.907851
DYNAMIC,8,1.808300,1.913056
DYNAMIC,16,1.801568,1.907128
