Chunksize,lower_bound,upper_bound
1,1.9107105515358676,1.9227286884641326
2,1.904048528625105,1.9105614313748953
4,1.8997199502845612,1.9076563697154392
8,1.9031202985298166,1.9091656214701833
16,1.8997434804740012,1.9073401995259986
