NumThreads,Time_Loop1,Time_Loop2
1,11.767323,13.534069
2,5.872950,6.530322
4,3.129479,3.407641
6,2.230369,2.469020
8,1.747794,1.907659
12,1.207569,1.350595
16,0.922349,1.010820
24,0.792706,0.879334
32,0.719076,0.896819
