NumThreads,Time_Loop1,Time_Loop2
1,11.740598,13.545330
2,5.722919,11.368441
4,3.065899,9.811161
6,2.201141,9.720837
8,1.720577,9.349854
12,1.180678,8.984615
16,0.901990,8.274666
24,0.760586,5.470217
32,0.692619,4.509699
