NumThreads,Time_Loop1,Time_Loop2
1,11.974490,13.576941
2,5.740012,11.317160
4,3.094086,10.248115
6,2.140728,9.653348
8,1.717267,9.429964
12,1.186017,9.091010
16,0.910506,8.271226
24,0.712522,5.479226
32,0.687617,4.269656
