NumThreads,Time_Loop1,Time_Loop2
1,12.277272,13.505733
2,5.740228,11.312584
4,3.079575,10.221786
6,2.221899,10.088791
8,1.728846,9.084513
12,1.187419,9.090192
16,0.907715,8.155996
24,0.771462,5.552725
32,0.725635,4.846949
