NumThreads,Time_Loop1,Time_Loop2
1,12.000177,13.690860
2,5.859000,6.599321
4,3.112914,3.406774
6,2.222969,2.444603
8,1.749288,1.907810
12,1.207496,1.351356
16,0.922171,1.000512
24,0.778824,0.883885
32,0.720478,0.898116
