NumThreads,Time_Loop1,Time_Loop2
1,11.855409,13.332182
2,5.862975,6.584164
4,3.113397,3.386596
6,2.227730,2.457086
8,1.752712,1.915607
12,1.210999,1.352971
16,0.919594,1.001555
24,0.707048,0.791643
32,0.661308,0.910025
