NumThreads,Time_Loop1,Time_Loop2
1,11.909813,13.687868
2,5.831456,6.594999
4,3.091380,3.407525
6,2.230224,2.455421
8,1.752698,1.900189
12,1.207949,1.347890
16,0.916500,1.005356
24,0.752097,0.875614
32,0.735516,0.894753
