NumThreads,Time_Loop1,Time_Loop2
1,11.906966,13.668983
2,5.867846,6.591866
4,3.131585,3.391850
6,2.217861,2.461820
8,1.747354,1.901984
12,1.222847,1.348833
16,0.919524,1.004186
24,0.803710,0.893672
32,0.742771,0.895782
