NumThreads,Time_Loop1,Time_Loop2
1,12.078654,13.548109
2,5.839209,6.537192
4,3.181955,3.392036
6,2.239496,2.480420
8,1.755894,1.921895
12,1.214719,1.352831
16,0.930620,1.000862
24,0.802496,0.895208
32,0.678147,0.911264
